brand,name,ingredients,,,,,,,,,,,
Kiehls,Midnight Recovery Concentrate Face Oil,"Caprylic/Capric Triglyceride,Dicaprylyl Carbonate,Squalane,Rosa Canina Fruit Oil,Oenothera Biennis Oil/Evening Primrose Oil,Simmondsia Chinensis Oil/Jojoba Seed Oil,Coriandrum Sativum Oil/Coriander Seed Oil,Tocopherol,Lavandula Angustifolia Oil/Lavender Oil,Pelargonium Graveolens Flower Oil,Linalool,Rosmarinus Officina-lis Leaf Oil/Rosemary Leaf Oil,Citronellol,Geraniol,Lavandula Hybrida Oil,Cucumis Sativus Extract/Cucumber Fruit Extract,Curcuma Longa Extract/Turmeric Root Extract,Limonene,Citral,Sclareolide,Rosa Spp/Rose Flower Oil,Jasminum Officinale Extract/Jasmine Extract,Helianthus Annuus Seed Oil/Sunflower Seed Oil",,,,,,,,,,,
Kiehls,Clearly Corrective Dark Spot Corrector,"WATER, PROPYLENE GLYCOL,GLYCERIN,ALCOHOL DENAT. ,PEG/PPG/POLYBUTYLENE GLYCOL-8/5/3 GLYCERIN,HYDROXYPROPYL TETRAHYDROPYRANTRIOL,3-O-ETHYL ASCORBIC ACID,PPG-6-DECYLTETRADECETH-30,PHENOXYETHANOL,SALICYLIC ACID,XANTHAN GUM, HYDROXYETHYLCELLULOSE, POTASSIUM HYDROXIDE, CITRIC ACID,SODIUM CITRATE, TOCOPHERYL ACETATE, LAVANDULA ANGUSTIFOLIA OIL / LAVENDER OIL, DISODIUM EDTA, ADENOSINE, LINALOOL, BUTYLENE GLYCOL,TOCOPHEROL,CITRUS AURANTIUM TACHIBANA PEEL EXTRACT, PAEONIA SUFFRUTICOSA ROOT EXTRACT",,,,,,,,,,,
Kiehls,Powerful-Strength Dark Circle Reducing Vitamin C Eye Serum,"Propylene Glycol,Dimethicone,Glycerin,Ascorbic Acid,Dimethicone Crosspolymer,Cetyl PEG/PPG-10/1 Dimethicone,Cyclohexasiloxane,Aqua/Water,Hydroxyethylpiperazine Ethane Sulfonic Acid,Lauroyl Lysine,Aluminum Starch Octenylsuccinate,Polysilicone-11,CI 77891/Titanium Dioxide,Adenosine,Hydrolyzed Hyaluronic Acid,Steareth-20,Chlorhexidine Digluconate,N-Hydroxysuccinimide,Sodium Citrate,Potassium Sorbate,Palmitoyl Tripeptide-1,Chrysin,Pentaerythrityl Tetra-di-t-Butyl Hydroxyhydro-cinnamate,Palmitoyl Tetrapeptide-7,Citric Acid,Biotin",,,,,,,,,,,
Kiehls,Facial Fuel Daily Energizing Moisture Treatment for Men,"WATER,CYCLOHEXASILOXANE,ALCOHOL DENAT.,GLYCERIN,PROPANEDIOL,DIMETHICONE,ZEA MAYS GERM OIL / CORN GERM OIL,PANTHENOL,ASCORBYL GLUCOSIDE,TRIETHANOLAMINE,PHENOXYETHANOL,GLYCERYL LINOLEATE,POLYPERFLUOROMETHYLISOPROPYL ETHER,POLYACRYLAMIDE,DIMETHICONOL,GLYCERYL OLEATE,CARBOMER,CETYL ALCOHOL,C13-14 ISOPARAFFIN,PARFUM / FRAGRANCE,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,GLYCINE SOJA OIL / SOYBEAN OIL,CAFFEINE,TOCOPHEROL,HYDROGENATED LECITHIN,CASTANEA SATIVA SEED EXTRACT / CHESTNUT SEED EXTRACT,BENZOPHENONE-4,MENTHOL,LIMONENE,PEG-100 STEARATE,GLYCERYL STEARATE,PENTYLENE GLYCOL,LAURETH-7,HYDROLYZED SOY PROTEIN,POTASSIUM CETYL PHOSPHATE,DISODIUM EDTA,GLYCERYL LINOLENATE,CITRUS AURANTIUM DULCIS JUICE / ORANGE JUICE,CITRUS LIMON JUICE / LEMON JUICE,LINALOOL,ETHYLHEXYLGLYCERIN,SODIUM BENZOATE,CITRAL,POTASSIUM SORBATE,CI 42090 / BLUE 1,CI 14700 / RED 4",,,,,,,,,,,
Kiehls,Eye Fuel,"WATER,DIMETHICONE,GLYCERIN,NIACINAMIDE,METHYL METHACRYLATE CROSSPOLYMER,CAFFEINE,ETHYLHEXYL PALMITATE,DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,DIMETHICONE/PEG-10/15 CROSSPOLYMER,PEG-10 DIMETHICONE,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID,SODIUM CHLORIDE,PERLITE,PHENOXYETHANOL,CHLORPHENESIN,SODIUM CITRATE,P-ANISIC ACID,TOCOPHEROL,DISODIUM EDTA,STEARETH-20ASCORBYL GLUCOSIDE,ADENOSINE,GLYCINE SOJA PROTEIN / SOYBEAN PROTEIN,DIPROPYLENE GLYCOL,CAPRYLYL GLYCOL,SODIUM COCOYL GLUTAMATE,CHLORHEXIDINE DIGLUCONATE,N-HYDROXYSUCCINIMIDE,POTASSIUM SORBATE,ETHYLHEXYLGLYCERIN,SODIUM BENZOATE,PALMITOYL OLIGOPEPTIDE,CHRYSIN,PALMITOYL TETRAPEPTIDE-7",,,,,,,,,,,
Kiehls,Facial Fuel Eye De-Puffer,"Water,Butylene Glycol,Bis-PEG-18 Methyl Ether Dimethyl Silane,Sodium Stearate,Sorbitol,Glycerin,Propylene Glycol,PEG-150 Distearate,Phenoxyethanol,Caprylyl Glycol,Honey,Caffeine,Manganese Gluconate,Sodium Citrate,Sodium Dextran Sulfate,Hibiscus Sabdariffa Extract/?Hibiscus Sabdariffa Flower Extract",,,,,,,,,,,
Kiehls,Facial Fuel Energizing Tonic for Men,"Water,Glycerin,Alcohol Denat.,PPG-26-Buteth-26,PEG-40 Hydrogenated Castor Oil,Salicylic Acid,Squalane,Caffeine,Caprylic/Capric Triglyceride,Zinc PCA,Parfum/Fragrance,Tocopherol,Menthol,Vaccinium Myrtillus Fruit Extract,Limonene,Saccharum Officinarum Extract/Sugar Cane Extract,Ascorbyl Glucoside,Hydrolyzed Soy Protein,Citrus Aurantium Dulcis Fruit Water/Orange Fruit Water,Citrus Limon Fruit Extract/Lemon Fruit Extract,Cryptomeria Japonica Bud Extract,Acer Saccharinum Extract/Sugar Maple Extract,Linalool,Bambusa Vulgaris Extract,Sodium hydroxide,Citric Acid",,,,,,,,,,,
Kiehls,Age Defender Eye Repair,"WATER,GLYCERIN,DIMETHICONE,ALCOHOL DENAT.,THEOBROMA CACAO SEED BUTTER / COCOA SEED BUTTER,BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER,POLY C10-30 ALKYL ACRYLATE,HYDROGENATED POLYISOBUTENE,SUCROSE STEARATE,STEARIC ACID,PALMITIC ACID,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID,SODIUM POLYACRYLATE,PHENOXYETHANOL,NYLON-12,PENTYLENE GLYCOL,CAPRYLYL GLYCOL,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,SECALE CEREALE SEED EXTRACT / RYE SEED EXTRACT,CAFFEINE,CHLORPHENESIN,XANTHAN GUM,SODIUM HYDROXIDE,CI 77891 / TITANIUM DIOXIDE,HYDROLYZED LINSEED EXTRACT,DIMETHICONOL,TOCOPHEROL,MICA,MYRISTIC ACID,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,ASCORBYL GLUCOSIDE,ADENOSINE,GLYCINE SOJA PROTEIN / SOYBEAN PROTEIN,VACCINIUM MYRTILLUS FRUIT EXTRACT,SODIUM BENZOATE,SACCHARUM OFFICINARUM EXTRACT / SUGARCANE EXTRACT,SODIUM COCOYL GLUTAMATE,CITRUS AURANTIUM DULCIS FRUIT EXTRACT / ORANGE FRUIT EXTRACT,CITRUS LIMON FRUIT EXTRACT / LEMON FRUIT EXTRACT,ETHYLHEXYLGLYCERIN,TIN OXIDE,ACER SACCHARUM EXTRACT / SUGAR MAPLE EXTRACT,POTASSIUM SORBATE,CITRIC ACID",,,,,,,,,,,
Kiehls,Age Defender Cream Moisturizer,"WATER,GLYCERIN,DIMETHICONE,ALCOHOL DENAT.,SUCROSE STEARATE,ORBIGNYA OLEIFERA SEED OIL,PENTAERYTHRITYL TETRAETHYLHEXANOATE,POLY C10-30 ALKYL ACRYLATE,THEOBROMA CACAO SEED BUTTER / COCOA SEED BUTTER,HYDROGENATED POLYISOBUTENE,OCTYLDODECANOL,STEARIC ACID,PALMITIC ACID,SYNTHETIC WAX, SODIUM POLYACRYLATE,PHENOXYETHANOL,CAPRYLOYL SALICYLIC ACID, PARFUM / FRAGRANCE, POLYURETHANE-2,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,POLYMETHYL METHACRYLATE,CHLORPHENESIN,XANTHAN GUM,SODIUM HYDROXIDE,LIMONENE,HYDROLYZED LINSEED EXTRACT, DIMETHICONOL,TOCOPHEROL,CAFFEINE,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,GLYCINE SOJA PROTEIN / SOYBEAN PROTEIN,MYRISTIC ACID,ASCORBYL GLUCOSIDE,ADENOSINE,VACCINIUM MYRTILLUS FRUIT EXTRACT,SODIUM BENZOATE,CAPRYLYL GLYCOL,DIMETHYL MEA,SACCHARUM OFFICINARUM EXTRACT / SUGAR CANE EXTRACT,SODIUM COCOYL GLUTAMATE,LINALOOL,ETHYLHEXYLGLYCERIN,SODIUM DEHYDROACETATE,CITRUS AURANTIUM DULCIS FRUIT WATER / ORANGE FRUIT WATER,CITRUS LIMON FRUIT EXTRACT / LEMON FRUIT EXTRACT,POTASSIUM SORBATE,ACER SACCHARUM EXTRACT / SUGAR MAPLE EXTRACT,CITRAL",,,,,,,,,,,
Kiehls,Age Defender Power Serum,"WATER,GLYCERIN,DIMETHICONE,ALCOHOL DENAT.,ISONONYL ISONONANOATE,BUTYLENE GLYCOL,AMMONIUM POLYACRYLOYLDIMETHYL TAURATE,PHENOXYETHANOL,PENTYLENE GLYCOL,HYDROLYZED SOY PROTEIN,PARFUM / FRAGRANCE,HYDROXYPROPYL TETRAHYDROPYRANTRIOL,PROPYLENE GLYCOL,RUSCUS ACULEATUS ROOT EXTRACT,GLYCINE SOJA OIL / SOYBEAN OIL,CAFFEINE,TOCOPHEROL,HYDROLYZED RICE PROTEIN,LIMONENE,BIOSACCHARIDE GUM-1,DISODIUM EDTA,ADENOSINE,T-BUTYL ALCOHOL,HYDROXYPALMITOYL SPHINGANINE,CRYPTOMERIA JAPONICA BUD EXTRACT,LINALOOL,CITRAL",,,,,,,,,,,
Kiehls,Facial Fuel Energizing Face Wash,"WATER,GLYCERIN,AMMONIUM LAURYL SULFATE,PROPYLENE GLYCOL,TRIETHANOLAMINE,CAPRYLYL GLYCOL,COCO-BETAINE,ACRYLATES/STEARETH-20 METHACRYLATE COPOLYMER,TEA-LAURYL SULFATE,COCO-GLUCOSIDE,PHENOXYETHANOL,CITRIC ACID,DECYL GLUCOSIDE,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,PARFUM / FRAGRANCE,CHLORPHENESIN,DISODIUM EDTA,SODIUM CHLORIDE,ZEA MAYS GERM OIL / CORN GERM OIL,CAFFEINE,MENTHOL,LIMONENE,POLYQUATERNIUM-39,TOCOPHEROL,BENZOIC ACID,AMMONIUM SULFATE,SODIUM LAURYL SULFATE,CASTANEA SATIVA SEED EXTRACT / CHESTNUT SEED EXTRACT,CITRUS AURANTIUM DULCIS JUICE / ORANGE JUICE,CITRUS LIMON JUICE / LEMON JUICE,SODIUM BENZOATE,POTASSIUM SORBATE,ETHYLHEXYLGLYCERIN,CI 42090 / BLUE 1,CI 14700 / RED 4",,,,,,,,,,,
Kiehls,Ferulic Brew Antioxidant Facial Treatment with Lactic Acid,"WATER,ARGININE,SACCHAROMYCES/RICE FERMENT FILTRATE 4.7%,DICAPRYLYL ETHER,GLYCERIN,PENTYLENE GLYCOL,LACTIC ACID 3.7%,PROPANEDIOL,SQUALANE,BUTYLENE GLYCOL,SODIUM CHLORIDE,TOCOPHEROL,ASCORBYL GLUCOSIDE,SALICYLIC ACID,FERULIC ACID 0.1%,CARAMEL,ADENOSINE,LAVANDULA HYBRIDA OIL,HELIANTHUS ANNUUS SEED OIL / SUNFLOWER SEED OIL,CUPRESSUS SEMPERVIRENS LEAF/NUT/STEM OIL,ANTHEMIS NOBILIS,FLOWER OIL,LINALOOL,PELARGONIUM GRAVEOLENS FLOWER OIL,BRASSICA CAMPESTRIS EXTRACT / RAPESEED EXTRACT,BRASSICA CAMPESTRIS SPROUT EXTRACT / RAPESEED SPROUT EXTRACT,MENTHA PIPERITA OIL / PEPPERMINT OIL,SODIUM HYALURONATE,CITRONELLOL,GERANIOL,LIMONENE,ORIGANUM MAJORANA LEAF OIL",,,,,,,,,,,
Kiehls,Iris Extract Activating Treatment Essence,"Water,Butylene Glycol,Glycerin,Dipropylene Glycol,Alcohol Denat.,Methyl Gluceth-10,Phenoxyethanol,PPG-6-decyltetradeceth-30,Chlorphenesin,Parfum/Fragrance,Capryloyl Salicylic Acid,Tetrasodium EDTA,Iris Florentina/Iris Florentina Root Extract,Sodium Hyaluronate,Xanthan Gum,Citric Acid,Sodium Citrate,Adenosine,Limonene",,,,,,,,,,,
Kiehls,Super Multi-Corrective Anti-Aging Cream for Face and Neck,"WATER,GLYCERIN,DICAPRYLYL ETHER,BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER,HYDROXYPROPYL TETRAHYDROPYRANTRIOL,ISONONYL ISONONANOATE,PROPYLENE GLYCOL,ISOPROPYL ISOSTEARATE,CETYL ALCOHOL,DIMETHICONE,BEHENYL ALCOHOL,CANDELILLA CERA / CANDELILLA WAX,GLYCERYL STEARATE,STEARIC ACID,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID,PALMITIC ACID,PHENOXYETHANOL,CETEARYL ALCOHOL,CITRIC ACID,CARBOMER,CAPRYLOYL SALICYLIC ACID,SODIUM HYDROXIDE,CAPRYLYL GLYCOL,PEG-100 STEARATE,VIGNA ACONITIFOLIA SEED EXTRACT,TOCOPHEROL,XANTHAN GUM,CETEARYL GLUCOSIDE,SODIUM COCOYL GLUTAMATE,SODIUM HYALURONATE,DISODIUM EDTA,PENTYLENE GLYCOL,JASMINUM OFFICINALE FLOWER EXTRACT / JASMINE FLOWER EXTRACT,MYRISTIC ACID,ROSMARINUS OFFICINALIS LEAF OIL / ROSEMARY LEAF OIL,ADENOSINE,INONOTUS OBLIQUUS (MUSHROOM) EXTRACT,LIMONENE,LINALOOL,PELARGONIUM GRAVEOLENS FLOWER OIL,LAVANDULA ANGUSTIFOLIA OIL / LAVENDER OIL,ROSA DAMASCENA FLOWER OIL",,,,,,,,,,,
Kiehls,Super Multi-Corrective Cream SPF 30,"Water,Glycerin,Octocrylene,Homosalate,Ethylhexyl Salicylate,Dimethicone,Glyceryl Stearate,Hydroxypropyl Tetrahydropyrantriol,Silica,Butyl Methoxydibenzoylmethane,PEG-100 Stearate,Propylene Glycol,Candelilla Cera/Candelilla Wax,Phenoxyethanol,Ammonium Polyacryldimethyltauramide/Ammonium Polyacryloyldimethy Taurate,Stearic Acid,Dicaprylyl Carbonate,Cetyl Alcohol,Palmitic Acid,Capryloyl Salicylic Acid,Caprylyl Glycol,Xanthan Gum,Dimethicone/Vinyl Dimethicone Crosspolymer,Parfum/Fragrance,Disodium EDTA,Tocopherol,Sodium Hyaluronate,Adenosine,Linalool,Sodium Hydroxide,Jasminum Officinale Extract/ Jasmine Flower Extract,Citronellol,Geraniol,Citral,Benzyl Alcohol,Citric Acid",,,,,,,,,,,
Kiehls,Micro-Dose Anti-Aging Retinol Serum with Ceramides and Peptide,"WATER,GLYCERIN,BUTYLENE GLYCOL,PENTYLENE GLYCOL,NIACINAMIDE,CETYL ALCOHOL,ISOHEXADECANE,ISONONYL ISONONANOATE,DIISOPROPYL SEBACATE,2-OLEAMIDO-1,3-OCTADECANEDIOL,4-T-BUTYLCYCLOHEXANOL,ACETYL DIPEPTIDE-1 CETYL ESTER,ADENOSINE,CERAMIDE NP,HYDROXYPALMITOYL SPHINGANINE,LAUROYL LYSINE,OCTYLDODECANOL,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,SODIUM CHLORIDE,SODIUM HYALURONATE,SODIUM HYDROXIDE,TRISODIUM ETHYLENEDIAMINE DISUCCINATE,RETINOL,TOCOPHEROL,DICAPRYLYL ETHER,AMMONIUM POLYACRYLOYLDIMETHYL TAURATE,BEHENYL ALCOHOL,CAPRYLYL GLYCOL,CARBOMER,CETEARYL ALCOHOL,CETEARYL GLUCOSIDE,GLYCINE SOJA OIL / SOYBEAN OIL,HELIANTHUS ANNUUS SEED OIL / SUNFLOWER SEED OIL,HYDROXYETHYLCELLULOSE,LECITHIN,PHENETHYL ALCOHOL,POLOXAMER 188,POLYCAPROLACTONE,SORBITAN LAURATE,STEARETH-100,CI 40800 / BETA-CAROTENE,CHLORPHENESIN,PHENOXYETHANOL",,,,,,,,,,,
Kiehls,Calendula Serum-Infused Water Cream,"WATER,DIMETHICONE,GLYCERIN,PROPYLENE GLYCOL,PROPANEDIOL,PANTHENOL,DIMETHICONE/PEG-10/15 CROSSPOLYMER,BISABOLOL,DIISOPROPYL SEBACATE,SODIUM CHLORIDE,PHENOXYETHANOL,POLYMETHYLSILSESQUIOXANE,CHLORPHENESIN,CITRUS LIMON PEEL OIL / LEMON PEEL OIL,SODIUM CITRATE,CALENDULA OFFICINALIS FLOWER EXTRACT,LIMONENE,PEG-10 DIMETHICONE,TRISODIUM ETHYLENEDIAMINE DISUCCINATE,CALENDULA OFFICINALIS FLOWER,CITRIC ACID,DIPROPYLENE GLYCOL,GERANIUM MACULATUM OIL,CHAMOMILLA RECUTITA FLOWER OIL / MATRICARIA FLOWER OIL,CITRAL,CITRONELLOL,GERANIOL,FARNESOL,LINALOOL,TOCOPHEROL,CYMBOPOGON SCHOENANTHUS OIL,ARTEMISIA ABSINTHIUM EXTRACT",,,,,,,,,,,
Kiehls,Pure Vitality Skin Renewing Cream,WATER GLYCERIN PROPANEDIOL DICAPRYLYL ETHER GLYCERYL STEARATE LAUROYL LYSINE BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER UNDECANE CETEARYL ALCOHOL ARGININE HYDROGENATED LECITHIN TRIDECANE MEL EXTRACT / HONEY EXTRACT MICA PANAX GINSENG ROOT EXTRACT CERA ALBA / BEESWAX CAPRYLOYL GLYCINE TOCOPHEROL CITRIC ACID SCLEROTIUM GUM XANTHAN GUM SALICYLIC ACID POTASSIUM SORBATE CEDRUS ATLANTICA BARK OIL LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE GLYCINE SOJA OIL / SOYBEAN OIL ADENOSINE CARAMEL CANANGA ODORATA FLOWER OIL VANILLA PLANIFOLIA FRUIT EXTRACT BULNESIA SARMIENTOI WOOD OIL CITRUS AURANTIUM DULCIS PEEL OIL / ORANGE PEEL OIL PELARGONIUM GRAVEOLENS FLOWER OIL LIMONENE BENZYL BENZOATE FARNESOL HELIANTHUS ANNUUS SEED OIL / SUNFLOWER SEED OIL,,,,,,,,,,,
Kiehls,Rare Earth Pore Refining Tonic,"Water,Alcohol Denat.,Glycerin,Propanediol,Silica,Phenoxyethanol,Zinc Oxide,Methyl Methacrylate Crosspolymer,Kaolin,Zinc Gluconate,Aloe Barbadensis/Aloe Barbadensis Leaf Juice,Avena Sativa Flour/Oat Kernel Flour,Menthoxypropanediol,Hamamelis Virginiana Water/Witch Hazel Leaf Water,Allantoin,Salicylic Acid",,,,,,,,,,,
