name,compared_to,compatible,text,rating
Vitamin B3 / Niacinamide,Ferulic Acid,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,Copper Peptide,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,General Peptides,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,Mushrooms ,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,Ceramides,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,Caffeine,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide ,Arbutin,FALSE,Avoid with The Ordinary Niacinamide Powder or with niacinamide in high concentrations due to pH conflict. ,3
Vitamin B3 / Niacinamide,Minerals,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,Other,TRUE,No incompatibility found.,1
Vitamin C,Vitamin C,TRUE,No incompatibility found.,1
Vitamin C,Vitamin E,TRUE,No incompatibility found.,1
Vitamin C,AHA,FALSE,May be irritating for sensitive skin. Consult a dermatologist.,2
Vitamin C,BHA,FALSE,May be irritating for sensitive skin. Consult a dermatologist.,2
Vitamin C,PHA,FALSE,Ingredients may not be effective together.,3
Vitamin C,Benzoyl Peroxide,FALSE,Ingredients may not be effective together.,3
Vitamin C,Hyaluronic Acid,TRUE,No incompatibility found.,1
Vitamin C,Hydroquinone,TRUE,No incompatibility found.,1
Vitamin C,Azelaic Acid,FALSE,"While there is no chemical incompatibility, Vitamin C is more effective as an antioxidant in the morning, whereas Azelaic Acid is more effective at night.",3
Vitamin C,Kojic Acid,TRUE,No incompatibility found.,1
Vitamin C,Bakuchiol,TRUE,No incompatibility found.,1
Vitamin C,Arbutin,TRUE,Both Vitamin C and Alpha Arbutin work along the same pathway and thus go very well with together.,1
Vitamin C,Ferulic Acid,TRUE,Ferulic Acid enhances the efficacy of Vitamin C.,1
Vitamin C,Copper Peptide,FALSE,Using copper peptides with vitamin c derivatives may decrease effectiveness of ingredients.,
Vitamin C,General Peptides,TRUE,No incompatibility found.,1
Vitamin C,Mushrooms,TRUE,No incompatibility found.,1
Vitamin C,Ceramides,TRUE,No incompatibility found.,1
Vitamin C,Caffeine,TRUE,No incompatibility found.,1
Vitamin C,Minerals,TRUE,No incompatibility found.,1
Vitamin C,Other,TRUE,No incompatibility found.,1
Vitamin E,Vitamin E,TRUE,No incompatibility found.,1
Vitamin E,AHA,TRUE,No incompatibility found.,1
Vitamin E,BHA,TRUE,No incompatibility found.,1
Vitamin E,PHA,TRUE,No incompatibility found.,1
Vitamin E,Benzoyl Peroxide,TRUE,No incompatibility found.,1
Vitamin E,Hyaluronic Acid,TRUE,No incompatibility found.,1
Vitamin E,Hydroquinone,TRUE,No incompatibility found.,1
Vitamin E,Azelaic Acid,TRUE,No incompatibility found.,1
Vitamin E,Kojic Acid,TRUE,No incompatibility found.,1
Vitamin E,Bakuchiol,TRUE,No incompatibility found.,1
Vitamin E,Arbutin,TRUE,No incompatibility found.,1
Vitamin E,Ferulic Acid,TRUE,No incompatibility found.,1
Vitamin E,Copper Peptide,TRUE,No incompatibility found.,1
Vitamin E,General Peptides,TRUE,No incompatibility found.,1
Vitamin E,Mushrooms,TRUE,No incompatibility found.,1
Vitamin E,Ceramides,TRUE,No incompatibility found.,1
Vitamin E,Caffeine,TRUE,No incompatibility found.,1
Vitamin E,Minerals,TRUE,No incompatibility found.,1
Vitamin E,Other,TRUE,No incompatibility found.,1
AHA,AHA,FALSE,May be irritating for sensitive skin. Consult a dermatologist.,2
AHA,BHA,FALSE, Avoid salicylic acid and glycolic acid together as they may cause irritation. AHA and BHAs together may be irritating for sensitive skin.,2
AHA,PHA,FALSE,May be irritating for sensitive skin. Consult a dermatologist.,2
AHA,Benzoyl Peroxide,FALSE,May cause irritation.,4
AHA,Hyaluronic Acid,TRUE,No incompatibility found.,1
AHA,Hydroquinone,FALSE,May cause irritation.,4
AHA,Azelaic Acid,FALSE,May cause irritation.,4
AHA,Kojic Acid,TRUE,Kojic Acid works well with glycolic acid.,2
AHA,Bakuchiol,FALSE,Combining with Glycolic Acid may not be effective.,3
AHA,Arbutin,TRUE,Combining Alpha Arbutin with Glycolic Acid or Lactic Acid increases efficacy of Alpha Arbutin,1
AHA,Ferulic Acid,TRUE,No incompatibility found.,1
AHA,Copper Peptide,FALSE,Using copper peptides with AHA products may decrease effectiveness of ingredients.,3
AHA,General Peptides,FALSE,Using peptides with AHA products may decrease effectiveness of ingredients.,3
AHA,Mushrooms,TRUE,No incompatibility found.,1
AHA,Ceramides,TRUE,No incompatibility found.,1
AHA,Caffeine,TRUE,No incompatibility found.,1
AHA,Minerals,TRUE,No incompatibility found.,1
AHA,Other,TRUE,No incompatibility found.,1
BHA,BHA,FALSE,May be irritating for sensitive skin. Consult a dermatologist.,2
BHA,PHA,FALSE,May be irritating for sensitive skin. Consult a dermatologist.,2
BHA,Benzoyl Peroxide,FALSE,May cause irritation.,4
BHA,Hyaluronic Acid,TRUE,No incompatibility found.,1
BHA,Hydroquinone,TRUE,Use cautiously and in small amounts. Salicylic Acid can prevent build up of dead skin cells as Hydroquinone kills hyper-pigmented skin cells. ,3
BHA,Azelaic Acid,FALSE,May cause irritation.,4
BHA,Kojic Acid,TRUE,No incompatibility found.,1
BHA,Bakuchiol,TRUE,Bakuchiol works well with salicylic acid to fight acne.,2
BHA,Arbutin,TRUE,Combining with BHA such as Salicylic Acid can increase efficacy of Alpha Arbutin.,1
BHA,Ferulic Acid,FALSE,Avoid using Ferulic Acid with Salycilic Acid as it may cause irritation.,4
BHA,Copper Peptide,FALSE,Using copper peptides with BHA products may decrease effectiveness of ingredients.,3
BHA,General Peptides,FALSE,Using peptides with BHA products may decrease effectiveness of ingredients.,3
BHA,Mushrooms,TRUE,No incompatibility found.,1
BHA,Ceramides,TRUE,No incompatibility found.,1
BHA,Caffeine,TRUE,No incompatibility found.,1
BHA,Minerals,TRUE,No incompatibility found.,1
BHA,Other,TRUE,No incompatibility found.,1
PHA,PHA,TRUE,No incompatibility found.,1
PHA,Benzoyl Peroxide,FALSE,May be irritating for sensitive skin. Consult a dermatologist.,2
PHA,Hyaluronic Acid,TRUE,No incompatibility found.,1
PHA,Hydroquinone,TRUE,No incompatibility found.,1
PHA,Azelaic Acid,FALSE,Not enough data on combining PHA products and Azelaic Acid. Consult a dermatologist.,3
PHA,Kojic Acid,TRUE,No incompatibility found.,1
PHA,Bakuchiol,TRUE,"PHAs and Bakuchiol may work well together for sensitive skin, as they are more gentle than AHAs and Retinols.",3
PHA,Arbutin,TRUE,No incompatibility found.,1
PHA,Ferulic Acid,TRUE,No incompatibility found.,1
PHA,Copper Peptide,TRUE,No incompatibility found.,1
PHA,General Peptides,TRUE,No incompatibility found.,1
PHA,Mushrooms,TRUE,No incompatibility found.,1
PHA,Ceramides,TRUE,No incompatibility found.,1
PHA,Caffeine,TRUE,No incompatibility found.,1
PHA,Minerals,TRUE,No incompatibility found,1
PHA,Other,TRUE,No incompatibility found.,1
Benzoyl Peroxide,Benzoyl Peroxide,FALSE,May cause irritaiton.,4
Benzoyl Peroxide,Hyaluronic Acid,TRUE,No incompatibility found.,1
Benzoyl Peroxide,Hydroquinone,FALSE,"Do not use Hydroquinone with any peroxide product, including Benzoyl Peroxide, Hydrogen Peroxide, or Resorcinol as it will stain skin.",5
Benzoyl Peroxide,Azelaic Acid,FALSE,Please consult a dermatologist.,3
Benzoyl Peroxide,Kojic Acid,TRUE,No incompatibility found.,1
Benzoyl Peroxide,Arbutin,FALSE,May cause irritation.,4
Benzoyl Peroxide,Bakuchiol,TRUE,Benzoyl Peroxide and Bakuchiol may work well together to fight acne.,2
Benzoyl Peroxide,Ferulic Acid,TRUE,No incompatibility found.,1
Benzoyl Peroxide,Copper Peptide,TRUE,No incompatibility found.,1
Benzoyl Peroxide,General Peptides,TRUE,No incompatibility found.,1
Benzoyl Peroxide,Mushrooms,TRUE,No incompatibility found.,1
Benzoyl Peroxide,Ceramides,TRUE,No incompatibility found.,1
Benzoyl Peroxide,Caffeine,TRUE,No incompatibility found.,1
Benzoyl Peroxide,Minerals,TRUE,No incompatibility found.,1
Benzoyl Peroxide,Other,TRUE,No incompatibility found.,1
Hyaluronic Acid,Hyaluronic Acid,TRUE,No incompatibility found.,1
Hyaluronic Acid,Hydroquinone,TRUE,No incompatibility found.,1
Hyaluronic Acid,Azelaic Acid,TRUE,No incompatibility found.,1
Hyaluronic Acid,Kojic Acid,TRUE,No incompatibility found.,1
Hyaluronic Acid,Arbutin,TRUE,No incompatibility found.,1
Hyaluronic Acid,Bakuchiol,TRUE,No incompatibility found.,1
Hyaluronic Acid,Ferulic Acid,TRUE,No incompatibility found.,1
Hyaluronic Acid,Copper Peptide,TRUE,No incompatibility found.,1
Hyaluronic Acid,General Peptides,TRUE,No incompatibility found.,1
Hyaluronic Acid,Mushrooms,TRUE,No incompatibility found.,1
Hyaluronic Acid,Ceramides,TRUE,No incompatibility found.,1
Hyaluronic Acid,Caffeine,TRUE,No incompatibility found.,1
Hyaluronic Acid,Minerals,TRUE,No incompatibility found.,1
Hyaluronic Acid,Other,TRUE,No incompatibility found.,1
Hyrdroquinone,Hyrdroquinone,FALSE,Use hydroquinone in small quantities and not for longer than 3 months.,3
Hyrdroquinone,Azelaic Acid,TRUE,No incompatibility found,1
Hyrdroquinone,Kojic Acid,TRUE,Kojic Acid can increase efficacy of hydroquinone. Please consult a dermatologist.,1
Hyrdroquinone,Bakuchiol,FALSE,Not enough data on combining Hydroquinone and Bakuchiol. Please consult a dermatologist.,3
Hyrdroquinone,Arbutin,FALSE,Not enough data on combining Hydroquinone and Arbutin derivatives. Please consult a dermatologist.,3
Hyrdroquinone,Ferulic Acid,TRUE,No incompatibility found,1
Hyrdroquinone,Copper Peptide,FALSE,Using copper peptides with may cause irritation in already damaged skin. Please consult a dermatologist.,4
Hyrdroquinone,General Peptides,TRUE,No incompatibility found,1
Hyrdroquinone,Mushroom,TRUE,No incompatibility found,2
Hyrdroquinone,Ceramide,TRUE,No incompatibility found,3
Hyrdroquinone,Caffeine,TRUE,No incompatibility found,3
Hyrdroquinone,Minerals,TRUE,No incompatibility found,4
Hyrdroquinone,Other,TRUE,No incompatibility found,4
Azelaic Acid,Azelaic Acid,FALSE,"Limit Azelaic Acid to twice a day, once in the morning and once at night. Consult a dermatologist for other usage.",3
Azelaic Acid,Kojic Acid,TRUE,No incompatibility found,1
Azelaic Acid,Bakuchiol,TRUE,No incompatibility found,1
Azelaic Acid,Arbutin,TRUE,No incompatibility found,1
Azelaic Acid,Ferulic Acid,TRUE,No incompatibility found,1
Azelaic Acid,Copper Peptide,FALSE,Using copper peptides with direct acid products may decrease effectiveness of ingredients.,4
Azelaic Acid,General Peptides,FALSE,Using peptides with direct acid products may decrease effectiveness of ingredients.,4
Azelaic Acid,Mushroom,TRUE,No incompatibility found,1
Azelaic Acid,Ceramide,TRUE,No incompatibility found,1
Azelaic Acid,Caffeine,TRUE,No incompatibility found,1
Azelaic Acid,Minerals,TRUE,No incompatibility found,1
Azelaic Acid,Other,TRUE,No incompatibility found,1
Kojic Acid,Kojic Acid,TRUE,No incompatibility found,1
Kojic Acid,Bakuchiol,TRUE,No incompatibility found,1
Kojic Acid,Arbutin,TRUE,No incompatibility found,1
Kojic Acid,Ferulic Acid,TRUE,No incompatibility found,1
Kojic Acid,Copper Peptide,TRUE,No incompatibility found,1
Kojic Acid,General Peptides,TRUE,No incompatibility found,1
Kojic Acid,Mushroom,TRUE,No incompatibility found,1
Kojic Acid,Ceramide,TRUE,No incompatibility found,1
Kojic Acid,Caffeine,TRUE,No incompatibility found,1
Kojic Acid,Minerals,TRUE,No incompatibility found,1
Kojic Acid,Other,TRUE,No incompatibility found,1
Bakuchiol,Bakuchiol,TRUE,No incompatibility found,1
Bakuchiol,Arbutin,TRUE,No incompatibility found,1
Bakuchiol,Ferulic Acid,TRUE,No incompatibility found,1
Bakuchiol,Copper Peptide,TRUE,No incompatibility found,1
Bakuchiol,General Peptides,TRUE,No incompatibility found,1
Bakuchiol,Mushroom,TRUE,No incompatibility found,1
Bakuchiol,Ceramide,TRUE,No incompatibility found,1
Bakuchiol,Caffeine,TRUE,No incompatibility found,1
Bakuchiol,Minerals,TRUE,No incompatibility found,1
Bakuchiol,Other,TRUE,No incompatibility found,1
Arbutin,Arbutin,TRUE,No incompatibility found,1
Arbutin,Ferulic Acid,TRUE,No incompatibility found,1
Arbutin,Copper Peptide,TRUE,No incompatibility found,1
Arbutin,General Peptides,TRUE,No incompatibility found,1
Arbutin,Mushroom,TRUE,No incompatibility found,1
Arbutin,Ceramide,TRUE,No incompatibility found,1
Arbutin,Caffeine,TRUE,No incompatibility found,1
Arbutin,Minerals,TRUE,No incompatibility found,1
Arbutin,Other,TRUE,No incompatibility found,1
Ferulic Acid,Ferulic Acid,TRUE,No incompatibility found,1
Ferulic Acid,Copper Peptide,TRUE,No incompatibility found,1
Ferulic Acid,General Peptides,TRUE,No incompatibility found,1
Ferulic Acid,Mushroom,TRUE,No incompatibility found,1
Ferulic Acid,Ceramide,TRUE,No incompatibility found,1
Ferulic Acid,Caffeine,TRUE,No incompatibility found,1
Ferulic Acid,Minerals,TRUE,No incompatibility found,1
Ferulic Acid,Other,TRUE,No incompatibility found,1
Copper Peptide,Copper Peptide,TRUE,No incompatibility found,1
Copper Peptide,General Peptides,TRUE,No incompatibility found,1
Copper Peptide,Mushroom,TRUE,No incompatibility found,1
Copper Peptide,Ceramide,TRUE,No incompatibility found,1
Copper Peptide,Caffeine,TRUE,No incompatibility found,1
Copper Peptide,Minerals,TRUE,No incompatibility found,1
Copper Peptide,Other,TRUE,No incompatibility found,1
General Peptides,General Peptides,TRUE,No incompatibility found,1
General Peptides,Mushroom,TRUE,No incompatibility found,1
General Peptides,Ceramide,TRUE,No incompatibility found,1
General Peptides,Caffeine,TRUE,No incompatibility found,1
General Peptides,Minerals,TRUE,No incompatibility found,1
General Peptides,Other,TRUE,No incompatibility found,1
Mushroom,Mushroom,TRUE,No incompatibility found,1
Mushroom,Ceramide,TRUE,No incompatibility found,1
Mushroom,Caffeine,TRUE,No incompatibility found,1
Mushroom,Minerals,TRUE,No incompatibility found,1
Mushroom,Other,TRUE,No incompatibility found,1
Ceramides,Ceramide,TRUE,No incompatibility found,1
Ceramides,Caffeine,TRUE,No incompatibility found,1
Ceramides,Minerals,TRUE,No incompatibility found,1
Ceramides,Other,TRUE,No incompatibility found,1
Caffeine,Caffeine,TRUE,No incompatibility found,1
Caffeine,Minerals,TRUE,No incompatibility found,1
Caffeine,Other,TRUE,No incompatibility found,1
Minerals,Minerals,TRUE,No incompatibility found,1
Minerals,Other,TRUE,No incompatibility found,1
Other,Other,TRUE,No incompatibility found.,1
